INFO 2024-10-29 23:05:37,467 Watching for file changes with StatReloader
INFO 2024-10-29 23:07:11,815 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,815 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,815 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,815 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,816 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:14,552 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:07:17,342 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2024-10-29 23:07:18,150 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2024-10-29 23:07:18,521 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2024-10-29 23:07:20,532 "POST /result/create/ HTTP/1.1" 200 10530
INFO 2024-10-29 23:07:21,230 "POST /result/create/ HTTP/1.1" 200 10530
INFO 2024-10-29 23:07:22,787 "POST /result/create/ HTTP/1.1" 200 10530
INFO 2024-10-29 23:07:23,714 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:07:24,159 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:07:25,392 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-10-29 23:07:27,949 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2024-10-29 23:07:50,810 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:07:54,240 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:07:58,769 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:08:03,079 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-10-29 23:08:08,955 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2024-10-29 23:08:12,581 "GET /student/download-csv/ HTTP/1.1" 200 94
INFO 2024-10-29 23:08:35,663 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:08:35,712 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,716 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,716 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,717 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,718 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,719 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:08:35,948 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:08:37,237 "GET /current-session/ HTTP/1.1" 200 10518
INFO 2024-10-29 23:08:38,319 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:08:42,446 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:08:45,893 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-10-29 23:08:46,891 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2024-10-29 23:08:50,250 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:08:51,220 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2024-10-29 23:09:20,616 "POST /student/create/ HTTP/1.1" 200 13783
INFO 2024-10-29 23:09:31,930 "POST /student/create/ HTTP/1.1" 200 13786
INFO 2024-10-29 23:12:09,941 "POST /student/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:09,962 "GET /student/1/ HTTP/1.1" 200 11266
INFO 2024-10-29 23:12:10,004 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,007 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,011 "GET /static/dist/img/avatar.png HTTP/1.1" 200 8543
INFO 2024-10-29 23:12:10,011 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,012 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,040 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,040 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2024-10-29 23:12:16,938 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:12:18,320 "GET /staff/create/ HTTP/1.1" 200 12596
INFO 2024-10-29 23:12:30,358 "POST /staff/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:30,375 "GET /staff/1/ HTTP/1.1" 200 10835
INFO 2024-10-29 23:12:32,195 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-10-29 23:12:33,820 "GET /finance/create/ HTTP/1.1" 200 13423
INFO 2024-10-29 23:12:47,324 "POST /finance/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:47,332 "GET /finance/list HTTP/1.1" 301 0
INFO 2024-10-29 23:12:47,348 "GET /finance/list/ HTTP/1.1" 200 10336
INFO 2024-10-29 23:12:48,861 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-29 23:12:50,074 "POST /result/create/ HTTP/1.1" 200 10702
INFO 2024-10-29 23:12:53,424 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-29 23:12:55,117 "POST /result/create/ HTTP/1.1" 200 10702
INFO 2024-10-29 23:12:57,299 "POST /result/create/ HTTP/1.1" 200 10905
INFO 2024-10-29 23:12:59,834 "POST /result/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:59,854 "GET /result/edit-results/ HTTP/1.1" 200 10746
INFO 2024-10-29 23:13:02,132 "GET /result/view/all HTTP/1.1" 200 9815
INFO 2024-10-29 23:13:05,397 "GET /result/edit-results/ HTTP/1.1" 200 10746
INFO 2024-10-29 23:13:05,857 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-29 23:13:08,005 "GET /result/edit-results/ HTTP/1.1" 200 10746
INFO 2024-10-29 23:13:14,175 "POST /result/edit-results/ HTTP/1.1" 302 0
INFO 2024-10-29 23:13:14,195 "GET /result/edit-results/ HTTP/1.1" 200 10892
INFO 2024-10-29 23:13:16,608 "GET /result/view/all HTTP/1.1" 200 9824
INFO 2024-10-29 23:13:21,317 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2024-10-29 23:13:22,605 "GET /site-config HTTP/1.1" 200 10862
INFO 2024-10-29 23:13:24,674 "GET /finance/list/ HTTP/1.1" 200 10336
INFO 2024-10-29 23:13:25,268 "GET /staff/list/ HTTP/1.1" 200 9910
INFO 2024-10-29 23:13:25,539 "GET /student/list HTTP/1.1" 200 10225
INFO 2024-10-29 23:15:21,964 "GET /student/list HTTP/1.1" 200 10225
INFO 2024-10-29 23:15:22,008 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,011 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,011 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,012 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,014 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,015 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:22,015 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:15:42,964 "GET /student/1/ HTTP/1.1" 200 11611
INFO 2024-10-29 23:15:42,991 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-10-29 23:15:46,583 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2024-10-30 00:15:26,850 Watching for file changes with StatReloader
INFO 2024-10-30 00:15:27,959 "GET / HTTP/1.1" 200 9290
INFO 2024-10-30 00:15:28,050 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,052 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,052 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,054 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,054 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,055 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,055 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,056 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,056 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,056 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,057 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,057 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,057 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,125 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-10-30 00:15:28,125 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2024-10-30 00:33:52,640 Watching for file changes with StatReloader
INFO 2024-10-30 00:33:54,185 "GET / HTTP/1.1" 302 0
INFO 2024-10-30 00:33:54,209 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-30 00:33:54,341 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-10-30 00:33:54,343 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2024-10-30 00:33:54,347 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2024-10-30 00:33:54,351 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2024-10-30 00:33:54,354 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2024-10-30 00:33:54,355 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2024-10-30 00:33:54,371 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2024-10-30 00:33:54,408 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2024-10-30 00:33:54,414 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2024-10-30 00:33:54,414 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2024-10-30 00:33:54,446 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2024-10-30 00:33:54,454 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2024-10-30 00:33:54,466 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2024-10-30 00:33:54,513 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
WARNING 2024-10-30 00:33:54,615 Not Found: /favicon.ico
WARNING 2024-10-30 00:33:54,615 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2024-10-30 00:34:14,133 Watching for file changes with StatReloader
INFO 2024-10-30 00:34:15,719 "GET / HTTP/1.1" 302 0
INFO 2024-10-30 00:34:15,732 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-30 00:34:32,552 "POST /accounts/login/ HTTP/1.1" 200 4106
INFO 2024-10-30 00:35:04,851 "GET / HTTP/1.1" 302 0
INFO 2024-10-30 00:35:04,857 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-30 00:35:22,100 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2024-10-30 00:35:22,129 "GET / HTTP/1.1" 200 9290
INFO 2024-10-30 00:35:22,187 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2024-10-30 00:35:22,316 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2024-10-30 00:35:23,387 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2024-10-30 00:35:30,694 "GET /staff/list/ HTTP/1.1" 200 9910
INFO 2024-10-30 00:35:32,238 "GET /finance/list/ HTTP/1.1" 200 10336
INFO 2024-10-30 00:35:32,810 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-30 00:35:33,199 "GET /result/edit-results/ HTTP/1.1" 200 10749
INFO 2024-10-30 00:35:33,557 "GET /result/view/all HTTP/1.1" 200 9824
INFO 2024-10-30 00:35:34,840 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2024-10-30 00:35:36,019 "GET /finance/list/ HTTP/1.1" 200 10336
INFO 2024-10-30 00:35:36,413 "GET /staff/list/ HTTP/1.1" 200 9910
INFO 2024-10-30 00:35:36,692 "GET /student/list HTTP/1.1" 200 10225
INFO 2024-10-30 00:35:37,909 "GET / HTTP/1.1" 200 9290
INFO 2024-10-30 00:35:38,287 "GET /current-session/ HTTP/1.1" 200 10518
INFO 2024-10-30 00:35:39,439 "GET / HTTP/1.1" 200 9290
INFO 2024-10-31 19:29:56,801 Watching for file changes with StatReloader
INFO 2024-10-31 19:30:49,810 Watching for file changes with StatReloader
INFO 2024-10-31 19:30:51,052 "GET / HTTP/1.1" 302 0
INFO 2024-10-31 19:30:51,079 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:30:51,226 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-10-31 19:30:51,227 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2024-10-31 19:30:51,233 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2024-10-31 19:30:51,235 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2024-10-31 19:30:51,237 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2024-10-31 19:30:51,242 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2024-10-31 19:30:51,260 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2024-10-31 19:30:51,288 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2024-10-31 19:30:51,304 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2024-10-31 19:30:51,312 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2024-10-31 19:30:51,322 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2024-10-31 19:30:51,337 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2024-10-31 19:30:51,343 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2024-10-31 19:30:51,399 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
WARNING 2024-10-31 19:30:51,532 Not Found: /favicon.ico
WARNING 2024-10-31 19:30:51,532 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2024-10-31 19:38:30,973 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:38:31,737 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:38:32,268 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:38:32,474 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:38:32,660 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:38:32,805 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:40:13,757 Watching for file changes with StatReloader
INFO 2024-10-31 19:40:19,113 "GET / HTTP/1.1" 302 0
INFO 2024-10-31 19:40:19,125 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-31 19:40:19,275 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-10-31 19:40:19,277 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2024-10-31 19:40:19,278 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2024-10-31 19:40:19,280 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2024-10-31 19:40:19,284 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2024-10-31 19:40:19,288 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2024-10-31 19:40:19,290 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2024-10-31 19:40:19,293 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2024-10-31 19:40:19,295 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2024-10-31 19:40:19,298 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2024-10-31 19:40:19,301 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2024-10-31 19:40:19,305 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2024-10-31 19:40:19,305 "GET /static/dist/img/login.png HTTP/1.1" 200 1128664
INFO 2024-10-31 19:40:19,385 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2024-10-31 19:40:44,103 "GET /static/dist/js/adminlte.js.map HTTP/1.1" 200 113276
INFO 2024-10-31 19:40:44,105 "GET /static/plugins/toastr/toastr.js.map HTTP/1.1" 200 25633
INFO 2024-10-31 19:40:44,109 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 318045
INFO 2024-10-31 19:40:44,122 "GET /static/dist/css/adminlte.min.css.map HTTP/1.1" 200 2149167
INFO 2024-10-31 19:42:12,689 "GET /accounts/login/?next=/ HTTP/1.1" 200 4022
INFO 2024-10-31 19:42:12,728 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2024-10-31 19:42:13,172 "GET /accounts/login/?next=/ HTTP/1.1" 200 4022
INFO 2024-10-31 19:42:13,320 "GET /accounts/login/?next=/ HTTP/1.1" 200 4022
INFO 2024-10-31 19:42:33,135 "GET /accounts/login/?next=/ HTTP/1.1" 200 4022
INFO 2024-10-31 19:42:35,663 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2024-10-31 19:42:35,695 "GET / HTTP/1.1" 200 9290
INFO 2024-10-31 19:42:35,802 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2024-10-31 19:42:35,829 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2024-10-31 19:42:37,055 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2024-10-31 19:42:38,104 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-31 19:42:40,931 "GET /staff/list/ HTTP/1.1" 200 9687
